epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.8217,1.54889,2.74642,1.7171,0.69042,0.2119,0.30229,0.12529,1.76526,2.67739,2.21302,0.000410628,0.000410628,0.000410628
2,39.1321,1.62833,2.31775,1.77636,0.51834,0.30307,0.23284,0.09437,1.98724,3.03306,2.44815,0.000819104,0.000819104,0.000819104
3,55.913,1.67082,2.3165,1.85521,0.45217,0.20367,0.13825,0.05151,2.14603,3.86883,2.92219,0.00121933,0.00121933,0.00121933
4,72.437,1.69037,2.27355,1.86099,0.52444,0.22907,0.19907,0.07449,2.17461,3.10518,2.58443,0.00121287,0.00121287,0.00121287
5,89.5779,1.67688,2.17897,1.84553,0.47777,0.24904,0.23451,0.08562,1.99375,2.57552,2.39897,0.0012005,0.0012005,0.0012005
6,107.621,1.66176,2.0962,1.83921,0.35801,0.35569,0.29512,0.13031,1.85093,2.25162,2.28925,0.00118812,0.00118812,0.00118812
7,128.292,1.65547,2.05036,1.839,0.43064,0.32437,0.33368,0.14585,1.90103,2.19143,2.37002,0.00117575,0.00117575,0.00117575
8,147.516,1.6127,1.98476,1.80022,0.50868,0.35838,0.32253,0.11395,1.9761,2.23111,2.40673,0.00116337,0.00116337,0.00116337
9,166.297,1.58829,1.95583,1.77805,0.62906,0.30702,0.34983,0.15413,1.96118,2.28196,2.54191,0.001151,0.001151,0.001151
10,186.02,1.58985,1.89403,1.79382,0.66943,0.34482,0.40882,0.18418,1.78687,2.03797,2.17459,0.00113863,0.00113863,0.00113863
11,214.842,1.57343,1.93085,1.77359,0.54838,0.38187,0.44343,0.19747,1.76299,1.94947,2.16448,0.00112625,0.00112625,0.00112625
12,243.72,1.55366,1.84569,1.75603,0.6001,0.42365,0.42946,0.20292,1.80987,1.92633,2.14515,0.00111388,0.00111388,0.00111388
13,270.149,1.55618,1.87173,1.7692,0.73837,0.34573,0.41984,0.18791,1.73918,1.94358,2.10043,0.0011015,0.0011015,0.0011015
14,290.397,1.52736,1.74418,1.73,0.77881,0.41641,0.46807,0.21542,1.77414,1.81164,2.16139,0.00108913,0.00108913,0.00108913
15,308.686,1.50903,1.73363,1.71766,0.56374,0.46604,0.50235,0.24577,1.74276,1.7591,2.07097,0.00107675,0.00107675,0.00107675
16,327.901,1.53786,1.72385,1.72318,0.54484,0.43466,0.48001,0.21866,1.82559,1.88291,2.1982,0.00106437,0.00106437,0.00106437
17,345.569,1.52294,1.69139,1.70513,0.60269,0.48865,0.51634,0.25685,1.74965,1.69691,2.10867,0.001052,0.001052,0.001052
18,363.709,1.48709,1.67873,1.68321,0.63047,0.4858,0.51528,0.25266,1.75021,1.70335,2.09238,0.00103962,0.00103962,0.00103962
19,380.685,1.47781,1.63708,1.67397,0.6603,0.5335,0.55643,0.2678,1.79199,1.65,2.16553,0.00102725,0.00102725,0.00102725
20,398.647,1.48691,1.64805,1.68973,0.74499,0.4256,0.53509,0.26415,1.73919,1.71414,2.07659,0.00101488,0.00101488,0.00101488
21,417.208,1.48681,1.61991,1.68409,0.64713,0.52289,0.57013,0.26687,1.71158,1.58323,2.07776,0.0010025,0.0010025,0.0010025
22,436.426,1.46503,1.59046,1.65998,0.62972,0.56118,0.54649,0.27025,1.76453,1.64661,2.11474,0.000990125,0.000990125,0.000990125
23,454.575,1.46865,1.58169,1.65911,0.61818,0.50554,0.58261,0.29879,1.69969,1.66145,2.05381,0.00097775,0.00097775,0.00097775
24,477.472,1.44771,1.53698,1.64234,0.57987,0.52136,0.53636,0.2702,1.6868,1.55995,2.01575,0.000965375,0.000965375,0.000965375
25,504.364,1.4023,1.49724,1.62155,0.70615,0.44614,0.50898,0.2467,1.71761,1.67456,2.08103,0.000953,0.000953,0.000953
26,531.182,1.41735,1.51318,1.62328,0.50922,0.56204,0.54802,0.25476,1.63005,1.56277,1.96679,0.000940625,0.000940625,0.000940625
27,552.235,1.40648,1.48897,1.64435,0.75475,0.55649,0.59673,0.29136,1.75133,1.53622,2.10134,0.00092825,0.00092825,0.00092825
28,571.039,1.39523,1.4422,1.60576,0.66961,0.51644,0.56038,0.28474,1.70765,1.53692,2.03496,0.000915875,0.000915875,0.000915875
29,590.262,1.40816,1.42605,1.60675,0.61405,0.48761,0.54332,0.27168,1.68102,1.53294,2.05069,0.0009035,0.0009035,0.0009035
30,608.418,1.37937,1.43053,1.60363,0.6966,0.46761,0.5451,0.26402,1.66759,1.49885,2.00872,0.000891125,0.000891125,0.000891125
31,626.133,1.37665,1.41909,1.59117,0.63424,0.4821,0.54977,0.28031,1.6578,1.4455,1.98174,0.00087875,0.00087875,0.00087875
32,643.578,1.35869,1.42526,1.57855,0.6229,0.54647,0.56626,0.29535,1.61392,1.44952,1.98414,0.000866375,0.000866375,0.000866375
33,661.605,1.3357,1.38443,1.5582,0.62775,0.54508,0.58397,0.30578,1.67145,1.49665,1.99462,0.000854,0.000854,0.000854
34,679.586,1.34162,1.35643,1.56612,0.73567,0.49548,0.59558,0.31692,1.63622,1.45974,1.96394,0.000841625,0.000841625,0.000841625
35,697.401,1.34684,1.36464,1.55596,0.65366,0.56837,0.61143,0.34119,1.6536,1.49031,2.00425,0.00082925,0.00082925,0.00082925
36,715.106,1.33257,1.33456,1.55083,0.80275,0.53675,0.61346,0.31995,1.65333,1.45305,2.00425,0.000816875,0.000816875,0.000816875
